title,author,rating,rating_count,description,isbn,image,url_from_jsonld,book_url,pages,published_year,language,genres
The Kite Runner,Khaled Hosseini,4.36,3502841,,9781594631931,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203.jpg,,https://www.goodreads.com/book/show/77203.The_Kite_Runner,371.0,,,"Fiction, Historical Fiction, Classics, Contemporary, Book Club"
"The Giver (The Giver, #1)",Lois Lowry,4.12,2815951,,9780385732550,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg,,https://www.goodreads.com/book/show/3636.The_Giver,208.0,,,"Young Adult, Fiction, Classics, Dystopia, Science Fiction"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4858889,,9780439655484,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg,,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,547.0,,,"Fantasy, Fiction, Young Adult, Harry Potter, Magic"
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.18,3454590,,9780670069019,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135.jpg,,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,480.0,,,"Fiction, Mystery, Thriller, Crime, Mystery Thriller"
"Dune (Dune, #1)",Frank Herbert,4.29,1632856,,9780593099322,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg,,https://www.goodreads.com/book/show/44767458-dune,658.0,,,"Science Fiction, Fiction, Fantasy, Classics, Audiobook"
Where the Wild Things Are,Maurice Sendak,4.26,1065786,,9780099408390,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543.jpg,,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,38.0,,,"Childrens, Picture Books, Classics, Fiction, Fantasy"
Green Eggs and Ham,Dr. Seuss,4.32,848579,,9780394800165,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772.jpg,,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,64.0,,,"Childrens, Picture Books, Classics, Fiction, Poetry"
The Lovely Bones,Alice Sebold,3.86,2464611,,9780316166683,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938.jpg,,https://www.goodreads.com/book/show/12232938-the-lovely-bones,372.0,,,"Fiction, Mystery, Young Adult, Contemporary, Fantasy"
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,3.83,1338646,,9780142437179,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956.jpg,,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,327.0,,,"Classics, Fiction, Historical Fiction, Adventure, Literature"
Life of Pi,Yann Martel,3.94,1756422,,9780770430078,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1631251689i/4214.jpg,,https://www.goodreads.com/book/show/4214.Life_of_Pi,460.0,,,"Fiction, Fantasy, Classics, Book Club, Adventure"
Lolita,Vladimir Nabokov,3.87,948308,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604.jpg,,https://www.goodreads.com/book/show/7604.Lolita,368.0,,,"Classics, Fiction, Literature, Russia, Novels"
A Tale of Two Cities,Charles Dickens,3.88,1014389,,9780141439600,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953.jpg,,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,489.0,,,"Classics, Fiction, Historical Fiction, Literature, Historical"
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1486630,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg,,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,275.0,,,"Classics, Fiction, Science Fiction, Historical Fiction, War"
The Bell Jar,Sylvia Plath,4.05,1228729,,9780571268863,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514.jpg,,https://www.goodreads.com/book/show/6514.The_Bell_Jar,294.0,,,"Classics, Fiction, Feminism, Mental Health, Psychology"
Matilda,Roald Dahl,4.34,1113259,,9780435123987,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988.jpg,,https://www.goodreads.com/book/show/39988.Matilda,240.0,,,"Fiction, Childrens, Classics, Fantasy, Middle Grade"
Water for Elephants,Sara Gruen,4.11,1703382,,9781565125605,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1667708346i/43641.jpg,,https://www.goodreads.com/book/show/43641.Water_for_Elephants,368.0,,,"Fiction, Historical Fiction, Romance, Book Club, Historical"
"Harry Potter and the Sorcerer&apos;s Stone (Harry Potter, #1)",J.K. Rowling,4.47,11448200,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1598823299i/42844155.jpg,,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone,333.0,,,"Fantasy, Fiction, Young Adult, Harry Potter, Magic"
